ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1832241750488339,131066326987,"SP Kanton Zürich",2023-02-15,2023-02-15,,"SP Kanton Zürich","Jetzt erst reicht. Wir kämpfen weiterhin für bezahlbare Wohnungen, einen sozial gerechten Klimaschutz und mehr Gleichstellung. Hilfst du uns dabei?","Jetzt Mitglied werden",mitglied-werden.sp-ps.ch,"SP Zürich","lower_bound: 15000, upper_bound: 19999","lower_bound: 100, upper_bound: 199",CHF,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000633},{""age"":""25-34"",""gender"":""female"",""percentage"":0.125775},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001518},{""age"":""35-44"",""gender"":""male"",""percentage"":0.055675},{""age"":""35-44"",""gender"":""female"",""percentage"":0.063773},{""age"":""55-64"",""gender"":""male"",""percentage"":0.074023},{""age"":""55-64"",""gender"":""female"",""percentage"":0.057826},{""age"":""18-24"",""gender"":""male"",""percentage"":0.107934},{""age"":""25-34"",""gender"":""male"",""percentage"":0.095913},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001392},{""age"":""18-24"",""gender"":""female"",""percentage"":0.149184},{""age"":""65+"",""gender"":""male"",""percentage"":0.07959},{""age"":""45-54"",""gender"":""male"",""percentage"":0.071365},{""age"":""45-54"",""gender"":""female"",""percentage"":0.050993},{""age"":""65+"",""gender"":""female"",""percentage"":0.06061},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001139},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000633},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002025}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",de
909840420144261,131066326987,"SP Kanton Zürich",2023-02-13,2023-02-13,,"SP Kanton Zürich","Jetzt erst reicht. Wir kämpfen weiterhin für einen sozial gerechten Klimaschutz, bezahlbare Wohnungen und mehr Gleichstellung. Hilfst du uns dabei?","Jetzt Mitglied werden",mitglied-werden.sp-ps.ch,"SP Zürich","lower_bound: 8000, upper_bound: 8999","lower_bound: 0, upper_bound: 99",CHF,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001207},{""age"":""65+"",""gender"":""female"",""percentage"":0.013682},{""age"":""55-64"",""gender"":""male"",""percentage"":0.015292},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000805},{""age"":""35-44"",""gender"":""male"",""percentage"":0.038632},{""age"":""18-24"",""gender"":""female"",""percentage"":0.302213},{""age"":""25-34"",""gender"":""female"",""percentage"":0.443461},{""age"":""18-24"",""gender"":""male"",""percentage"":0.019316},{""age"":""45-54"",""gender"":""female"",""percentage"":0.012072},{""age"":""35-44"",""gender"":""female"",""percentage"":0.047082},{""age"":""45-54"",""gender"":""male"",""percentage"":0.02173},{""age"":""25-34"",""gender"":""male"",""percentage"":0.047887},{""age"":""65+"",""gender"":""male"",""percentage"":0.019718},{""age"":""55-64"",""gender"":""female"",""percentage"":0.016901}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",de
596464395656438,131066326987,"SP Kanton Zürich",2023-02-13,2023-02-13,,"SP Kanton Zürich","Jetzt erst reicht. Wir kämpfen weiterhin für bezahlbare Wohnungen, mehr Gleichstellung und einen sozial gerechten Klimaschutz. Hilfst du uns dabei?","Jetzt Mitglied werden",mitglied-werden.sp-ps.ch,"SP Zürich","lower_bound: 35000, upper_bound: 39999","lower_bound: 200, upper_bound: 299",CHF,"{""age"":""55-64"",""gender"":""male"",""percentage"":0.00883},{""age"":""25-34"",""gender"":""male"",""percentage"":0.096753},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000665},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001139},{""age"":""65+"",""gender"":""male"",""percentage"":0.00845},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001044},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001614},{""age"":""35-44"",""gender"":""female"",""percentage"":0.14755},{""age"":""35-44"",""gender"":""male"",""percentage"":0.045101},{""age"":""45-54"",""gender"":""female"",""percentage"":0.040448},{""age"":""18-24"",""gender"":""female"",""percentage"":0.177459},{""age"":""18-24"",""gender"":""male"",""percentage"":0.073775},{""age"":""45-54"",""gender"":""male"",""percentage"":0.012913},{""age"":""25-34"",""gender"":""female"",""percentage"":0.349032},{""age"":""65+"",""gender"":""female"",""percentage"":0.014907},{""age"":""55-64"",""gender"":""female"",""percentage"":0.019939},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00038}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",
1236329600655746,131066326987,"SP Kanton Zürich",2023-02-13,2023-02-13,,"SP Kanton Zürich","Jetzt erst reicht. Wir kämpfen weiterhin für bezahlbare Wohnungen, einen sozial gerechten Klimaschutz und mehr Gleichstellung. Hilfst du uns dabei?","Jetzt Mitglied werden",mitglied-werden.sp-ps.ch,"SP Zürich","lower_bound: 9000, upper_bound: 9999","lower_bound: 0, upper_bound: 99",CHF,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000493},{""age"":""45-54"",""gender"":""male"",""percentage"":0.055473},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000986},{""age"":""55-64"",""gender"":""male"",""percentage"":0.058925},{""age"":""45-54"",""gender"":""female"",""percentage"":0.048323},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002712},{""age"":""35-44"",""gender"":""female"",""percentage"":0.073718},{""age"":""55-64"",""gender"":""female"",""percentage"":0.048077},{""age"":""18-24"",""gender"":""female"",""percentage"":0.098866},{""age"":""65+"",""gender"":""male"",""percentage"":0.059911},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001726},{""age"":""35-44"",""gender"":""male"",""percentage"":0.059911},{""age"":""18-24"",""gender"":""male"",""percentage"":0.107002},{""age"":""25-34"",""gender"":""male"",""percentage"":0.142258},{""age"":""25-34"",""gender"":""female"",""percentage"":0.182692},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001726},{""age"":""65+"",""gender"":""female"",""percentage"":0.055227},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001972}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",de
593702438797449,131066326987,"SP Kanton Zürich",2023-02-13,2023-02-13,2023-02-16,"SP Kanton Zürich","Jetzt erst reicht. Wir kämpfen weiterhin für bezahlbare Wohnungen, einen sozial gerechten Klimaschutz und mehr Gleichstellung. Hilfst du uns dabei?","Jetzt Mitglied werden",mitglied-werden.sp-ps.ch,"SP Zürich","lower_bound: 3000, upper_bound: 3999","lower_bound: 0, upper_bound: 99",CHF,"{""age"":""55-64"",""gender"":""female"",""percentage"":0.039683},{""age"":""65+"",""gender"":""male"",""percentage"":0.079365},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000661},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000661},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000661},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002646},{""age"":""55-64"",""gender"":""male"",""percentage"":0.059524},{""age"":""45-54"",""gender"":""male"",""percentage"":0.039021},{""age"":""35-44"",""gender"":""male"",""percentage"":0.05291},{""age"":""35-44"",""gender"":""female"",""percentage"":0.079365},{""age"":""65+"",""gender"":""female"",""percentage"":0.050265},{""age"":""25-34"",""gender"":""female"",""percentage"":0.185185},{""age"":""18-24"",""gender"":""male"",""percentage"":0.109127},{""age"":""18-24"",""gender"":""female"",""percentage"":0.156746},{""age"":""25-34"",""gender"":""male"",""percentage"":0.094577},{""age"":""45-54"",""gender"":""female"",""percentage"":0.048942},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000661}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",de
1626737834425744,131066326987,"SP Kanton Zürich",2023-02-06,2023-02-06,2023-02-08,"SP Kanton Zürich","Am 12. Februar 2023 finden im Kanton Zürich sehr wichtige Wahlen statt. 🗳 
Mobilisiere jetzt dein Umfeld und teile diesen Beitrag. 
👉 Wähle SP Liste 2 in den Kantonsrat sowie Jacqueline Fehr und Priska Seiler Graf in den Regierungsrat.","Wichtig: Jetzt wählen!",wahlen-kanton-zuerich.ch,,"lower_bound: 35000, upper_bound: 39999","lower_bound: 200, upper_bound: 299",CHF,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002459},{""age"":""65+"",""gender"":""female"",""percentage"":0.055876},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000721},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000848},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002968},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000848},{""age"":""55-64"",""gender"":""male"",""percentage"":0.105011},{""age"":""35-44"",""gender"":""male"",""percentage"":0.169323},{""age"":""25-34"",""gender"":""male"",""percentage"":0.091911},{""age"":""18-24"",""gender"":""female"",""percentage"":0.004663},{""age"":""35-44"",""gender"":""female"",""percentage"":0.116881},{""age"":""45-54"",""gender"":""male"",""percentage"":0.146049},{""age"":""45-54"",""gender"":""female"",""percentage"":0.095939},{""age"":""55-64"",""gender"":""female"",""percentage"":0.077455},{""age"":""65+"",""gender"":""male"",""percentage"":0.066178},{""age"":""18-24"",""gender"":""male"",""percentage"":0.010132},{""age"":""25-34"",""gender"":""female"",""percentage"":0.052654},{""age"":""18-24"",""gender"":""unknown"",""percentage"":8.5e-5}","{""region"":""Z\u00fcrich"",""percentage"":1}",facebook,"lower_bound: 100001, upper_bound: 500000",de
751182943015768,131066326987,"SP Kanton Zürich",2023-02-06,2023-02-06,2023-02-07,"SP Kanton Zürich","Am 12. Februar 2023 finden im Kanton Zürich wichtige Wahlen statt! 🗳 
Mobilisiere jetzt dein Umfeld und teile diesen Beitrag.
👉 Wähle SP Liste 2 in den Kantonsrat sowie Jacqueline Fehr und Priska Seiler Graf in den Regierungsrat.",,wahlen-kanton-zuerich.ch,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 300, upper_bound: 399",CHF,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000205},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001561},{""age"":""65+"",""gender"":""female"",""percentage"":0.0258},{""age"":""55-64"",""gender"":""male"",""percentage"":0.027936},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002711},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002342},{""age"":""45-54"",""gender"":""male"",""percentage"":0.04552},{""age"":""65+"",""gender"":""male"",""percentage"":0.016967},{""age"":""35-44"",""gender"":""male"",""percentage"":0.084549},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002054},{""age"":""55-64"",""gender"":""female"",""percentage"":0.046506},{""age"":""18-24"",""gender"":""male"",""percentage"":0.086603},{""age"":""45-54"",""gender"":""female"",""percentage"":0.082782},{""age"":""25-34"",""gender"":""male"",""percentage"":0.158827},{""age"":""18-24"",""gender"":""female"",""percentage"":0.07588},{""age"":""35-44"",""gender"":""female"",""percentage"":0.149994},{""age"":""25-34"",""gender"":""female"",""percentage"":0.189228},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000534}","{""region"":""Z\u00fcrich"",""percentage"":1}",instagram,"lower_bound: 100001, upper_bound: 500000",de
736021707828475,131066326987,"SP Kanton Zürich",2023-02-02,2023-02-02,2023-02-07,"SP Kanton Zürich","Am 12. Februar 2023 finden im Kanton Zürich sehr wichtige Wahlen statt. 🗳 
Mobilisiere jetzt dein Umfeld und teile diesen Beitrag. 
👉 Wähle SP Liste 2 in den Kantonsrat sowie Jacqueline Fehr und Priska Seiler Graf in den Regierungsrat.","Wichtig: Jetzt wählen!",wahlen-kanton-zuerich.ch,,"lower_bound: 40000, upper_bound: 44999","lower_bound: 400, upper_bound: 499",CHF,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000121},{""age"":""35-44"",""gender"":""male"",""percentage"":0.174314},{""age"":""65+"",""gender"":""male"",""percentage"":0.087157},{""age"":""45-54"",""gender"":""male"",""percentage"":0.147366},{""age"":""55-64"",""gender"":""female"",""percentage"":0.066764},{""age"":""25-34"",""gender"":""female"",""percentage"":0.053168},{""age"":""35-44"",""gender"":""female"",""percentage"":0.086429},{""age"":""25-34"",""gender"":""male"",""percentage"":0.119932},{""age"":""65+"",""gender"":""female"",""percentage"":0.057235},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001639},{""age"":""45-54"",""gender"":""female"",""percentage"":0.072469},{""age"":""55-64"",""gender"":""male"",""percentage"":0.115501},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004491},{""age"":""18-24"",""gender"":""male"",""percentage"":0.005887},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001153},{""age"":""18-24"",""gender"":""female"",""percentage"":0.00176},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001457},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003156}","{""region"":""Z\u00fcrich"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",de
649718360242782,131066326987,"SP Kanton Zürich",2023-02-02,2023-02-02,2023-02-07,"SP Kanton Zürich","Am 12. Februar 2023 finden im Kanton Zürich wichtige Wahlen statt! 🗳 
Mobilisiere jetzt dein Umfeld und teile diesen Beitrag.
👉 Wähle SP Liste 2 in den Kantonsrat sowie Jacqueline Fehr und Priska Seiler Graf in den Regierungsrat.",,wahlen-kanton-zuerich.ch,,"lower_bound: 35000, upper_bound: 39999","lower_bound: 400, upper_bound: 499",CHF,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000512},{""age"":""25-34"",""gender"":""female"",""percentage"":0.207354},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00185},{""age"":""55-64"",""gender"":""female"",""percentage"":0.03614},{""age"":""55-64"",""gender"":""male"",""percentage"":0.029172},{""age"":""18-24"",""gender"":""female"",""percentage"":0.057832},{""age"":""25-34"",""gender"":""male"",""percentage"":0.197433},{""age"":""45-54"",""gender"":""female"",""percentage"":0.062517},{""age"":""18-24"",""gender"":""male"",""percentage"":0.06673},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002244},{""age"":""35-44"",""gender"":""male"",""percentage"":0.098106},{""age"":""65+"",""gender"":""female"",""percentage"":0.026889},{""age"":""45-54"",""gender"":""male"",""percentage"":0.045589},{""age"":""65+"",""gender"":""male"",""percentage"":0.023188},{""age"":""35-44"",""gender"":""female"",""percentage"":0.136294},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004212},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003464},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000472}","{""region"":""Z\u00fcrich"",""percentage"":1}",instagram,"lower_bound: 50001, upper_bound: 100000",de
1424987284704753,131066326987,"SP Kanton Zürich",2023-01-26,2023-01-27,2023-02-07,"SP Kanton Zürich","Die Bedeutung der kantonalen Wahlen wird von vielen krass unterschätzt. Bitte geh deshalb am 12. Februar wählen. 🗳
👉 Stärke mit deiner Stimme für die SP die fortschrittlichen Kräfte im Kantonsrat.",,,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 1000, upper_bound: 1499",CHF,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000764},{""age"":""65+"",""gender"":""female"",""percentage"":0.024552},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005221},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001019},{""age"":""18-24"",""gender"":""female"",""percentage"":0.062374},{""age"":""45-54"",""gender"":""female"",""percentage"":0.068996},{""age"":""45-54"",""gender"":""male"",""percentage"":0.047933},{""age"":""55-64"",""gender"":""female"",""percentage"":0.038993},{""age"":""65+"",""gender"":""male"",""percentage"":0.023075},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002725},{""age"":""55-64"",""gender"":""male"",""percentage"":0.032601},{""age"":""18-24"",""gender"":""male"",""percentage"":0.056949},{""age"":""35-44"",""gender"":""male"",""percentage"":0.092708},{""age"":""25-34"",""gender"":""male"",""percentage"":0.171586},{""age"":""25-34"",""gender"":""female"",""percentage"":0.224079},{""age"":""35-44"",""gender"":""female"",""percentage"":0.139164},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002547},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004712}","{""region"":""Z\u00fcrich"",""percentage"":1}",instagram,"lower_bound: 50001, upper_bound: 100000",de
548653950616465,131066326987,"SP Kanton Zürich",2023-01-26,2023-01-26,2023-02-07,"SP Kanton Zürich","Die Bedeutung der kantonalen Wahlen wird von vielen krass unterschätzt. Bitte geh deshalb am 12. Februar wählen. Stärke mit deine Stimme für die SP die fortschrittlichen Kräfte im Kantonsrat. ✍️",,,,"lower_bound: 80000, upper_bound: 89999","lower_bound: 900, upper_bound: 999",CHF,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000261},{""age"":""25-34"",""gender"":""male"",""percentage"":0.092858},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001753},{""age"":""18-24"",""gender"":""female"",""percentage"":0.003104},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001256},{""age"":""35-44"",""gender"":""female"",""percentage"":0.139797},{""age"":""35-44"",""gender"":""male"",""percentage"":0.138684},{""age"":""45-54"",""gender"":""male"",""percentage"":0.113804},{""age"":""65+"",""gender"":""female"",""percentage"":0.073429},{""age"":""18-24"",""gender"":""male"",""percentage"":0.005023},{""age"":""45-54"",""gender"":""female"",""percentage"":0.107123},{""age"":""55-64"",""gender"":""female"",""percentage"":0.080016},{""age"":""65+"",""gender"":""male"",""percentage"":0.074946},{""age"":""25-34"",""gender"":""female"",""percentage"":0.070325},{""age"":""55-64"",""gender"":""male"",""percentage"":0.085418},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004004},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001777},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006421}","{""region"":""Z\u00fcrich"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",de
702964221299169,131066326987,"SP Kanton Zürich",2023-01-25,2023-01-25,2023-02-05,"SP Kanton Zürich","Der Kanton Zürich braucht mehr bezahlbare Familienwohnungen und genügend Kita-Plätze. 👨‍👩‍👧‍👦 Wähle die SP am 12. Februar in den Kantons- und Regierungsrat - auch deine Stimme ist wichtig. 🌹",,,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 100, upper_bound: 199",CHF,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000496},{""age"":""18-24"",""gender"":""female"",""percentage"":0.042712},{""age"":""65+"",""gender"":""male"",""percentage"":0.003349},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001489},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.0043},{""age"":""55-64"",""gender"":""female"",""percentage"":0.012528},{""age"":""18-24"",""gender"":""male"",""percentage"":0.015009},{""age"":""25-34"",""gender"":""female"",""percentage"":0.413852},{""age"":""35-44"",""gender"":""female"",""percentage"":0.228737},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000124},{""age"":""35-44"",""gender"":""male"",""percentage"":0.062849},{""age"":""45-54"",""gender"":""female"",""percentage"":0.054331},{""age"":""65+"",""gender"":""female"",""percentage"":0.007029},{""age"":""25-34"",""gender"":""male"",""percentage"":0.126938},{""age"":""45-54"",""gender"":""male"",""percentage"":0.01563},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005293},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000951},{""age"":""55-64"",""gender"":""male"",""percentage"":0.004383}","{""region"":""Z\u00fcrich"",""percentage"":1}",instagram,"lower_bound: 10001, upper_bound: 50000",de
1148068009240677,131066326987,"SP Kanton Zürich",2023-01-25,2023-01-25,2023-02-05,"SP Kanton Zürich","Der Kanton Zürich braucht mehr bezahlbare Familienwohnungen und genügend Kita-Plätze. 👨‍👩‍👧‍👦 Wähle die SP am 12. Februar in den Kantons- und Regierungsrat - auch deine Stimme ist wichtig. 🌹",,,,"lower_bound: 80000, upper_bound: 89999","lower_bound: 400, upper_bound: 499",CHF,"{""age"":""18-24"",""gender"":""male"",""percentage"":0.007126},{""age"":""55-64"",""gender"":""male"",""percentage"":0.014863},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000215},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002621},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001777},{""age"":""18-24"",""gender"":""female"",""percentage"":0.008257},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000377},{""age"":""65+"",""gender"":""female"",""percentage"":0.012996},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.007306},{""age"":""55-64"",""gender"":""female"",""percentage"":0.021917},{""age"":""45-54"",""gender"":""male"",""percentage"":0.047551},{""age"":""25-34"",""gender"":""female"",""percentage"":0.218187},{""age"":""65+"",""gender"":""male"",""percentage"":0.008832},{""age"":""45-54"",""gender"":""female"",""percentage"":0.075715},{""age"":""35-44"",""gender"":""female"",""percentage"":0.266384},{""age"":""25-34"",""gender"":""male"",""percentage"":0.139762},{""age"":""35-44"",""gender"":""male"",""percentage"":0.166059},{""age"":""18-24"",""gender"":""unknown"",""percentage"":5.4e-5}","{""region"":""Z\u00fcrich"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",de
709361740725147,131066326987,"SP Kanton Zürich",2023-01-25,2023-01-25,2023-02-05,"SP Kanton Zürich","Die SP will die Profitmaximierung der Immobilienkonzerne einschränken und den Anteil gemeinnütziger Wohnungen erhöhen. 👉 Wähle die SP in den Kantons- und Regierungsrat - auch deine Stimme ist wichtig. 🌹",,,,"lower_bound: 80000, upper_bound: 89999","lower_bound: 400, upper_bound: 499",CHF,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000335},{""age"":""25-34"",""gender"":""female"",""percentage"":0.230648},{""age"":""65+"",""gender"":""male"",""percentage"":0.010951},{""age"":""55-64"",""gender"":""female"",""percentage"":0.030539},{""age"":""65+"",""gender"":""female"",""percentage"":0.012484},{""age"":""45-54"",""gender"":""male"",""percentage"":0.045769},{""age"":""35-44"",""gender"":""male"",""percentage"":0.104548},{""age"":""35-44"",""gender"":""female"",""percentage"":0.138982},{""age"":""25-34"",""gender"":""male"",""percentage"":0.224007},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001086},{""age"":""18-24"",""gender"":""male"",""percentage"":0.060519},{""age"":""18-24"",""gender"":""female"",""percentage"":0.04339},{""age"":""45-54"",""gender"":""female"",""percentage"":0.068294},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003017},{""age"":""55-64"",""gender"":""male"",""percentage"":0.020019},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000431},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00356},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001421}","{""region"":""Z\u00fcrich"",""percentage"":1}",instagram,"lower_bound: 50001, upper_bound: 100000",de
1201979840722829,131066326987,"SP Kanton Zürich",2023-01-25,2023-01-25,2023-02-05,"SP Kanton Zürich","Die SP will die Profitmaximierung der Immobilienkonzerne einschränken und den Anteil gemeinnütziger Wohnungen erhöhen. 👉 Wähle die SP in den Kantons- und Regierungsrat - auch deine Stimme ist wichtig. 🌹",,,,"lower_bound: 125000, upper_bound: 149999","lower_bound: 700, upper_bound: 799",CHF,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000134},{""age"":""55-64"",""gender"":""male"",""percentage"":0.07204},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002405},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00462},{""age"":""65+"",""gender"":""female"",""percentage"":0.030849},{""age"":""18-24"",""gender"":""female"",""percentage"":0.004887},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000746},{""age"":""45-54"",""gender"":""male"",""percentage"":0.11597},{""age"":""45-54"",""gender"":""female"",""percentage"":0.093359},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000735},{""age"":""18-24"",""gender"":""male"",""percentage"":0.010365},{""age"":""25-34"",""gender"":""male"",""percentage"":0.15518},{""age"":""25-34"",""gender"":""female"",""percentage"":0.098759},{""age"":""35-44"",""gender"":""female"",""percentage"":0.132903},{""age"":""35-44"",""gender"":""male"",""percentage"":0.188745},{""age"":""55-64"",""gender"":""female"",""percentage"":0.05435},{""age"":""65+"",""gender"":""male"",""percentage"":0.032407},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001547}","{""region"":""Z\u00fcrich"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",de
2214947058689286,131066326987,"SP Kanton Zürich",2023-01-25,2023-01-25,2023-02-05,"SP Kanton Zürich","Die SP setzt sich für eine Stärkung der AHV und mehr soziale Unabhängigkeit im Alter ein. Wähle die SP in den Kantons- und Regierungsrat - auch deine Stimme ist wichtig. 🌹",,spzuerich.ch,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 100, upper_bound: 199",CHF,"{""age"":""65+"",""gender"":""female"",""percentage"":0.222716},{""age"":""65+"",""gender"":""male"",""percentage"":0.154636},{""age"":""55-64"",""gender"":""male"",""percentage"":0.227681},{""age"":""55-64"",""gender"":""female"",""percentage"":0.312709},{""age"":""45-54"",""gender"":""male"",""percentage"":0.025781},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002912},{""age"":""45-54"",""gender"":""female"",""percentage"":0.051084},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002148},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000334}","{""region"":""Z\u00fcrich"",""percentage"":1}",facebook,"lower_bound: 10001, upper_bound: 50000",de
625225682703743,131066326987,"SP Kanton Zürich",2023-01-25,2023-01-25,2023-02-05,"SP Kanton Zürich","Für eine konsequente und sozial gerechte Klimapolitik braucht es eine starke SP. 🌍 Wähle die SP in den Kantons- und Regierungsrat - auch deine Stimme ist wichtig. 🌹",,,,"lower_bound: 80000, upper_bound: 89999","lower_bound: 400, upper_bound: 499",CHF,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000328},{""age"":""18-24"",""gender"":""male"",""percentage"":0.016327},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002755},{""age"":""65+"",""gender"":""male"",""percentage"":0.013061},{""age"":""55-64"",""gender"":""female"",""percentage"":0.035736},{""age"":""45-54"",""gender"":""female"",""percentage"":0.070962},{""age"":""55-64"",""gender"":""male"",""percentage"":0.03871},{""age"":""18-24"",""gender"":""female"",""percentage"":0.016017},{""age"":""25-34"",""gender"":""male"",""percentage"":0.19873},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000347},{""age"":""45-54"",""gender"":""male"",""percentage"":0.079353},{""age"":""35-44"",""gender"":""female"",""percentage"":0.151136},{""age"":""25-34"",""gender"":""female"",""percentage"":0.20486},{""age"":""35-44"",""gender"":""male"",""percentage"":0.15619},{""age"":""65+"",""gender"":""female"",""percentage"":0.012842},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001514},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001003},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000128}","{""region"":""Z\u00fcrich"",""percentage"":1}",facebook,"lower_bound: 10001, upper_bound: 50000",de
